dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,label,attack_cat
0.039001,tcp,-,fin,16,18,1540,1644,846.132168,31,29,296197.5313,318555.9375,4,4,2.574067,2.265059,161.663236,4.721137,255,3086699703,3094756831,255,0.000611,0.000492,0.000119,96,91,0,0,13,0,9,5,1,7,0,0,0,8,9,0,0,Normal
0.001122,udp,dns,con,2,2,132,164,2673.796684,31,29,470588.2188,584670.1875,0,0,0.008,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,66,82,0,0,9,0,2,1,1,2,0,0,0,1,8,0,0,Normal
15.087037,tcp,http,fin,8,10,1052,824,1.126795,31,29,488.366272,393.450348,2,2,2153.133786,1676.274875,176010.9604,4664.723,255,2832356189,2837620385,255,0.00069,0.00055,0.00014,132,82,1,83,5,0,13,5,1,2,0,0,1,5,7,0,0,Normal
2.572658,tcp,-,fin,10,8,564,354,6.607952,254,252,1579.689087,963.983521,2,1,285.850889,354.614,19281.27345,535.901438,255,2260083723,474312995,255,0.168967,0.089312,0.079655,56,44,0,0,1,1,2,1,1,1,0,0,0,1,4,0,1,Reconnaissance
0.345923,tcp,-,fin,10,6,632,268,43.36225,254,252,13158.99805,5180.343262,2,1,38.435889,58.664602,1899.694545,91.760008,255,3801234689,701986250,255,0.074766,0.051923,0.022843,63,45,0,0,1,1,1,1,1,1,0,0,0,3,1,0,1,Shellcode
1e-05,udp,-,int,2,0,1324,0,100000.0025,254,0,529600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,662,0,0,0,1,2,2,1,1,1,0,0,0,2,1,0,1,Generic
0.985501,tcp,smtp,fin,36,22,19823,1814,57.838602,254,252,156452.4063,14059.85352,14,8,28.157171,45.971047,2087.50897,98.469383,255,2769927079,3907403392,255,0.035912,0.019461,0.016451,551,82,0,0,1,1,2,1,1,1,0,0,0,1,1,0,1,DoS
2.148459,tcp,ftp,fin,22,22,1174,1614,20.014346,62,252,4174.154785,5738.066406,7,9,102.264189,99.362854,5207.617928,5349.837151,255,3970207682,2860850090,255,0.125854,0.061834,0.06402,53,73,0,0,1,1,2,1,1,2,1,1,0,3,1,0,1,Exploits
5e-06,udp,-,int,2,0,168,0,200000.0051,254,0,134400000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,2,2,1,1,1,0,0,0,1,5,0,1,Reconnaissance
5e-06,udp,dns,int,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,14,2,4,4,3,14,0,0,0,4,14,0,1,Generic
21.206099,udp,-,int,4,0,2378,0,0.141469,254,0,673.013916,0.0,0,0,7068.7,0.0,9996.64,0.0,0,0,0,0,0.0,0.0,0.0,595,0,0,0,5,2,3,3,1,5,0,0,0,4,5,0,1,Fuzzers
0.050013,tcp,-,fin,44,46,2766,24004,1779.537381,31,29,432527.5625,3756303.5,7,16,1.155535,1.100089,69.574935,67.648413,255,245907870,2401788506,255,0.000644,0.000505,0.000139,63,522,0,0,5,0,5,1,1,1,0,0,0,2,18,0,0,Normal
2.207067,tcp,-,fin,26,72,1368,75324,43.94973,62,252,4770.131348,269236.9688,6,34,88.282678,29.626112,4490.704979,2635.078169,255,2435206289,1538302846,255,0.190175,0.102939,0.087236,53,1046,0,0,2,1,1,1,1,1,0,0,0,1,1,0,1,Exploits
47.411877,tcp,-,fin,20,12,1176,536,0.653845,254,252,188.644714,83.017174,6,1,2493.663316,4305.6705,335265.1317,13268.926,255,986161711,303646051,255,0.087821,0.049502,0.038319,59,45,0,0,2,1,4,2,2,2,0,0,0,2,5,0,1,Fuzzers
1.049648,tcp,-,fin,10,8,564,354,16.195905,254,252,3871.773926,2362.696777,2,1,112.342778,135.900281,7332.556473,186.552047,255,1093025010,2598798744,255,0.174246,0.098337,0.075909,56,44,0,0,4,1,1,1,1,1,0,0,0,2,1,0,1,Reconnaissance
0.893751,tcp,ftp-data,fin,8,12,424,8824,21.258717,31,29,3320.835449,72404.95313,1,4,127.605862,81.208091,8730.191329,6954.135385,255,3139568216,3458089647,255,0.000568,0.000457,0.000111,53,735,0,0,2,0,1,1,1,4,0,0,0,3,2,0,0,Normal
0.80397,tcp,http,fin,18,8,14098,354,31.095688,254,252,132492.5156,3084.692383,6,1,45.120707,100.783859,3681.399181,141.771516,255,2778304595,2474865246,255,0.181179,0.098479,0.0827,783,44,1,0,1,1,2,1,1,1,0,0,1,3,1,0,1,Exploits
0.155999,tcp,-,fin,84,86,4862,77276,1083.340244,31,29,246411.8281,3916845.5,7,36,1.875108,1.8288,97.136189,96.254823,255,2710150714,612524720,255,0.000683,0.000547,0.000136,58,899,0,0,7,0,1,1,1,1,0,0,0,2,6,0,0,Normal
0.232585,tcp,http,fin,10,8,850,1082,73.091559,62,252,26312.96094,32573.03906,2,2,25.842778,31.024285,1381.054261,55.347328,255,2241050523,1630221664,255,0.057206,0.009614,0.047592,85,135,0,0,1,1,1,1,1,2,0,0,0,1,1,0,1,Exploits
